Date,TradingMember,WorksFor,ClientCode,OwnsSymbol,Security,ISIN,Volume,BuyOrSell,SellPrice,BuyPrice,SellPricePerShare,BuyPricePerShare,DealerUserId,DealerUserName
03/29/2020,Ruby Lobo,Gail,2,Royal Enfield,NSE,729212988342,6100,Sell,156770.0,545157.0,25.7,89.37,HBPRHB,oovlasfe
02/04/2020,Adagatla Mamata,ITC,3,HDFC,NSE,860140196130,4200,Buy,122766.0,409290.0,29.23,97.45,THPYRZ,vbblsgnt
02/24/2020,Deepak Mishra,Cadila,4,Parle,BSE,821242130522,200,Buy,4002.0000000000005,6873.999999999999,20.01,34.37,BCGGDB,pggrmnee
03/18/2020,Tanooj Shah,HDFC,5,Cadila,NSE,721366532040,2500,Sell,150975.0,235200.0,60.39,94.08,PHTDSN,bxeteyqd
02/08/2020,Adagatla Mamata,ITC,3,Gail,NSE,24719728043,4800,Sell,331248.0,138864.0,69.01,28.93,IFZOJH,pzyikejt
02/11/2020,Viral Sanghavi,TATA Motors,1,Larsen & Toubro,BSE,528030375753,100,Sell,3243.0,7515.000000000001,32.43,75.15,LROFVL,vyhkpqyw
02/10/2020,Adagatla Mamata,ITC,3,Larsen & Toubro,BSE,238864718731,3500,Buy,270655.0,58940.0,77.33,16.84,IGYCCR,xnzrrxes
02/28/2020,Ruby Lobo,Gail,2,Eureka Forbes,NSE,654382151084,6700,Sell,610169.0,481864.0,91.07,71.92,HGBEBL,kwldxsdb
03/14/2020,Tanooj Shah,HDFC,5,MRF,NSE,966893102743,4700,Sell,79806.0,166333.0,16.98,35.39,NEDLWC,cshkxkfp
02/11/2020,Adagatla Mamata,ITC,3,Gail,NSE,629344619964,7100,Buy,421314.0,370407.0,59.34,52.17,RERHQC,isgescvj
03/04/2020,Ruby Lobo,Gail,2,Indian Oil,BSE,514476830413,9500,Sell,783750.0,248805.0,82.5,26.19,GBEHRL,xprsimtu
02/10/2020,Tanooj Shah,HDFC,5,Rajesh Exports,BSE,715137184687,5000,Buy,332250.0,342600.0,66.45,68.52,UXAQKL,cdfindxm
03/24/2020,Ruby Lobo,Gail,2,Gail,NSE,16452650045,7800,Buy,496392.0,150384.0,63.64,19.28,YQSJDT,rfreqnvv
03/11/2020,Tanooj Shah,HDFC,5,TATA Motors,NSE,749585329966,1400,Sell,4634.0,44324.0,3.31,31.66,HNXBJN,vbhmuiwu
03/22/2020,Adagatla Mamata,ITC,3,Gail,NSE,323706145543,7200,Sell,487440.0,41976.0,67.7,5.83,ISKNHE,pvbmcusm
02/09/2020,Viral Sanghavi,TATA Motors,1,Suzlon,BSE,614099640768,4500,Sell,394470.0,85455.0,87.66,18.99,HXZTCN,igbaadcm
03/30/2020,Deepak Mishra,Cadila,4,Karnataka Bank,BSE,814734261000,9400,Sell,267712.0,683380.0,28.48,72.7,BIIFBX,lfnvxvcg
02/28/2020,Adagatla Mamata,ITC,3,SpiceJet,BSE,305562748219,10000,Sell,641200.0,417400.0,64.12,41.74,KFXRWP,pgdgddhq
03/17/2020,Deepak Mishra,Cadila,4,SpiceJet,BSE,145794214850,1000,Sell,66150.0,90790.0,66.15,90.79,MHEBBA,rkslrgak
02/09/2020,Viral Sanghavi,TATA Motors,1,HDFC,NSE,966080479218,1700,Sell,145809.0,51136.0,85.77,30.08,IGJPQJ,fhvrhhpd
03/07/2020,Tanooj Shah,HDFC,5,Eureka Forbes,NSE,92538247315,8100,Sell,235710.0,255069.0,29.1,31.49,ZALLAM,jhmnglcz
03/28/2020,Adagatla Mamata,ITC,3,Bharat Petroleum,NSE,784523328582,8000,Sell,550800.0,109120.0,68.85,13.64,WAQJQU,uxdaehkl
02/06/2020,Deepak Mishra,Cadila,4,Suzlon,NSE,279311587831,3100,Buy,57722.0,231229.0,18.62,74.59,EHANWZ,tfkbyesj
02/07/2020,Deepak Mishra,Cadila,4,DLF,NSE,907261674771,4000,Buy,203280.0,34040.0,50.82,8.51,NHPVUX,teibmbwb
03/04/2020,Adagatla Mamata,ITC,3,SBIN,NSE,401626378862,1300,Buy,29978.0,33605.0,23.06,25.85,WHSTBC,urgshnap
02/09/2020,Tanooj Shah,HDFC,5,HDFC,BSE,165526543789,7100,Sell,613440.0,188860.0,86.4,26.6,WIJXAV,wjbjxhou
02/02/2020,Adagatla Mamata,ITC,3,Eureka Forbes,NSE,998373173057,1200,Sell,16043.999999999998,12888.0,13.37,10.74,FYCKLF,ibyfxsqw
03/09/2020,Adagatla Mamata,ITC,3,Eureka Forbes,BSE,431583365290,600,Buy,22260.0,3180.0,37.1,5.3,SGHMSH,bkrnkcrt
03/22/2020,Deepak Mishra,Cadila,4,Maruti Suzuki,NSE,228327221313,1100,Buy,90156.0,13090.0,81.96,11.9,BAGKRA,jkfltdjv
03/13/2020,Viral Sanghavi,TATA Motors,1,DLF,NSE,421701114609,7000,Buy,173040.0,367640.0,24.72,52.52,QGIQRV,nyyzyoby
03/05/2020,Deepak Mishra,Cadila,4,SBIN,BSE,241266735003,6400,Sell,142784.0,139584.0,22.31,21.81,HQTHVU,dneddolb
03/21/2020,Tanooj Shah,HDFC,5,Royal Enfield,BSE,854808936155,6400,Sell,170496.0,210240.0,26.64,32.85,VLKWKB,dldcgekn
02/19/2020,Viral Sanghavi,TATA Motors,1,SpiceJet,NSE,244687432267,2600,Buy,66846.0,141518.0,25.71,54.43,MRWJEH,xwkzgolr
03/10/2020,Ruby Lobo,Gail,2,SBIN,BSE,603169229815,300,Buy,12375.0,22509.0,41.25,75.03,PLCNJU,syjtryco
03/26/2020,Tanooj Shah,HDFC,5,Royal Enfield,NSE,221959629708,7800,Buy,756756.0,445692.0,97.02,57.14,QYQYVA,bjkbeelf
